ID,Name,Grade,Category,Type,Icon URL,Problem
"app_1770825759096_a70v3dc59","Adobe Acrobat Reader: Edit PDF","D","Productivité","regular","📄","Icône invalide (ne commence pas par http): ""📄"""
"app_1770825800428_ycbkuwpjh","AliExpress - Shopping App","D","Shopping","regular","","Icône manquante (vide)"
"app_1770825803858_cjrxsizsf","Alibaba.com - B2B marketplace","D","Shopping","regular","","Icône manquante (vide)"
"app_1770825768298_s5kuh23rn","Android Accessibility Suite","D","Utilitaires","regular","","Icône manquante (vide)"
"app_1770825770148_zbz9zykl7","Audiomack: Music Downloader","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825794036_hjss1d0iv","B612 AI Photo&Video Editor","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825807960_ufot67j5c","Bath & Body Works","D","Shopping","regular","","Icône manquante (vide)"
"app_1770825752659_v1q9eago9","BeReal. Your friends for real.","D","Réseaux sociaux","regular","","Icône manquante (vide)"
"app_1770825797607_wihji5he8","BeautyPlus-Selfie Photo Editor","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825781917_7e2kjwpx7","BookMyShow | Movies & Events","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825764963_uqsze73cy","Boosted Time Tracker","D","Productivité","regular","","Icône manquante (vide)"
"app_1770825765435_93kkkgffz","CamScanner- scanner, PDF maker","D","Productivité","regular","","Icône manquante (vide)"
"app_1770825788594_sat7dxsru","Canva: AI Photo & Video Editor","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825781468_wfesaukpp","Chai: Chat AI Platform","D","Communication","regular","","Icône manquante (vide)"
"app_1770825777036_swtjjfh1l","Character AI: Chat, Talk, Text","D","Communication","regular","","Icône manquante (vide)"
"app_1770825756592_hnmko4dpn","Clapper: Video, Live, Chat","D","Communication","regular","","Icône manquante (vide)"
"app_1770825766513_rwna8fr8d","Cleanup: Phone Storage Cleaner","D","Communication","regular","","Icône manquante (vide)"
"app_1770825797286_1ftis86ag","Collage Maker | Photo Editor","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825748821_ajbsklzhs","Contacts","D","Communication","regular","","Icône manquante (vide)"
"app_1770825780511_q8urgruun","Crunchyroll: Anime Streaming","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825775649_c50fi2639","Disney+","D","Multimédia","regular","","Icône manquante (vide)"
"doctolib","Doctolib","A","Santé & Médical","regular","https://play-lh.googleusercontent.com/8kEp_rugjdZq3oEv4hUI_b_buz3DhYJYzxgddtdzBgI76xdaVbCAm6G9JyckgFoIqpU","Timeout (URL ne répond pas en 5s)"
"app_1770825807611_8eb1y6eou","Dollar General-Digital Coupons","D","Shopping","regular","","Icône manquante (vide)"
"app_1770825773593_ckjlu9lx8","DuckDuckGo, Duck.ai (optional)","D","Sécurité & VPN","regular","","Icône manquante (vide)"
"app_1770825799674_jz2mxml77","Etsy: Shop Home, Style & More","D","Shopping","regular","","Icône manquante (vide)"
"app_1770825794769_otx1mawp9","FaceApp: Perfect Face Editor","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825802810_wzqv4ms5h","Fashion Nova: Trendy Shopping","D","Shopping","regular","","Icône manquante (vide)"
"app_1770825808260_nu7x4mls4","Fetch: America’s Rewards App","D","Shopping","regular","","Icône manquante (vide)"
"app_1770825801043_etm3iaxou","Flipkart Online Shopping App","D","Shopping","regular","","Icône manquante (vide)"
"app_1770825760111_c25g5x2y1","Focus To-Do: Pomodoro & Tasks","C","Productivité","regular","🍅","Icône invalide (ne commence pas par http): ""🍅"""
"app_1770825758573_sdb288so4","Forest: Focus for Productivity","D","Productivité","regular","🌳","Icône invalide (ne commence pas par http): ""🌳"""
"app_1770825789754_mll1ozz1b","Gallery","D","Multimédia","regular","","Icône manquante (vide)"
"1769805919501","Google.com","D","Moteurs de Recherche","star","https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.HgH-NjiOdFOrkmwjsZCCfAHaHl%3Fpid%3DApi&f=1&ipt=64a4204253b320cf52a1ca246ed9e31a8140379b16a9d9582984041de8038c78&ipo=images","Timeout (URL ne répond pas en 5s)"
"app_1770825747010_74lftxlie","GroupMe","D","Communication","regular","","Icône manquante (vide)"
"app_1770825776601_qw55xyzd8","HBO Max: Stream TV & Movies","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825785870_k3jply57a","HD Video Player All Formats","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825803475_d9dmxh3k7","Hollister Co.","D","Shopping","regular","","Icône manquante (vide)"
"app_1770825784104_plqwtnehg","Hulu: Stream TV shows & movies","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825795858_5dultjvee","Hypic - Photo Editor & AI Art","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825763426_kj80eucbz","Journal it! Productivity, Note","D","Productivité","regular","","Icône manquante (vide)"
"app_1770825750312_dmheoaa34","JusTalk Kids - Safe Messenger","D","Communication","regular","","Icône manquante (vide)"
"app_1770825784871_6q4ultwth","KMPlayer - All Video Player","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825803175_mlccz4e9d","Kohl's - Shopping & More","D","Shopping","regular","","Icône manquante (vide)"
"app_1770825754095_k0z9sy103","Kwai - Cool Video & Social Fun","D","Réseaux sociaux","regular","","Icône manquante (vide)"
"app_1770825797990_7j4cp242z","LINE Camera - Photo editor","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825744790_ykkz29eou","LINE: Calls & Messages","D","Communication","regular","","Icône manquante (vide)"
"app_1770825805409_0f0z84854","Lazada | All Shipping On Us","D","Shopping","regular","","Icône manquante (vide)"
"app_1770825790807_37k17ubzi","Lightroom Photo & Video Editor","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825805760_q5p4yw7om","Meesho: Online Shopping App","D","Shopping","regular","","Icône manquante (vide)"
"app_1770825751826_bbt53psby","Meetup: Social Events & Groups","D","Réseaux sociaux","regular","","Icône manquante (vide)"
"app_1770825795491_3c6kyuha4","Meitu- AI Photo & Video Editor","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825802460_mjudnfujc","Mercado Libre: Compras online","D","Shopping","regular","","Icône manquante (vide)"
"app_1770825745319_s7tu4atl7","Messenger","D","Communication","regular","","Icône manquante (vide)"
"app_1770825746467_9jylbq7f2","Messenger Kids – The Messaging","D","Communication","regular","","Icône manquante (vide)"
"app_1770825802108_je8tedjpz","Myntra - Fashion Shopping App","D","Shopping","regular","","Icône manquante (vide)"
"app_1770825808627_mnfy4yr07","N26 — La banque qu'on adore","B","Finance","regular","💳","Icône invalide (ne commence pas par http): ""💳"""
"app_1770825785536_xi3lov238","NOVA Video Player","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825762747_0vzkh4zmk","Notion: Notes, Tasks, AI","D","Productivité","regular","","Icône manquante (vide)"
"app_1770825752242_2aqqkshm6","OK: Social Network","D","Productivité","regular","","Icône manquante (vide)"
"app_1770825807309_1sagaiou0","OZON: товары, одежда, билеты","D","Shopping","regular","","Icône manquante (vide)"
"app_1770825806945_ljl0jt9i4","OfferUp - Buy. Sell. Local.","D","Shopping","regular","","Icône manquante (vide)"
"app_1770825772357_5krpdcgab","Opera: Private Web Browser","D","Navigation","regular","","Icône manquante (vide)"
"app_1770825809276_cxz6ek8hc","Orange et moi France","B","Finance","regular","🍊","Icône invalide (ne commence pas par http): ""🍊"""
"app_1770825779370_55oawz6rx","Paramount+","D","Multimédia","regular","","Icône manquante (vide)"
