App ID,App Name,Found App Name,Package ID,Similarity %,Icon URL
"app_1770825768298_s5kuh23rn","Android Accessibility Suite","Outils d'accessibilité Android","com.google.android.marvin.talkback","47","https://play-lh.googleusercontent.com/xBFTJQCPqUh0i97AwiPo-tPBndyn9GWwAqeoxPgKEPLdFcCaRsqcBpr6SC4uYgJ6Ew"
"app_1770825770148_zbz9zykl7","Audiomack: Music Downloader","Audiomack : téléchargeur","com.audiomack","44","https://play-lh.googleusercontent.com/4zXhkPkaVyWr-1jyOSw63KXVJSoeJRUOasy9x9Lsr2FBFc1RXHI9hZ-Dioud0hmSlYIv"
"app_1770825752659_v1q9eago9","BeReal. Your friends for real.","BeReal. Tes amis pour de vrai.","com.bereal.ft","47","https://play-lh.googleusercontent.com/8Lu1K0dDM8hFB3wlkUgUvOOw9hc7NRwVijiEPqeXZhzz7t2Q3jktTZ_aqT3kofwurG4"
"app_1770825788594_sat7dxsru","Canva: AI Photo & Video Editor","Canva: Retouche Photo et Vidéo","com.canva.editor","40","https://play-lh.googleusercontent.com/tUZNUbnNGw8I6uLg8Zy2ZWbmSFuT5kK0dYA8tdqNmldlozNS_jSjDw5j2nElRsoTzQ"
"app_1770825766513_rwna8fr8d","Cleanup: Phone Storage Cleaner","Cleanup: Nettoyeur Téléphone","com.storage.androidcleaner","47","https://play-lh.googleusercontent.com/ch_hRY59cDYlQrI-Utveqytsnu3rsMbhWeZWnX8AFLj4nW-CqA0BGl8EFxkk4Lz8DzEorfag343uFRgVPWCQ"
"app_1770825797286_1ftis86ag","Collage Maker | Photo Editor","Montage Photos - Collage Photo","photoeditor.layout.collagemaker","30","https://play-lh.googleusercontent.com/ESTjkU8UqzM0FE0wKykfY51WEGpZZV1h6Vltgy9Z2bzrDaLA_MIyX85IpCHLb2_7-_U"
"app_1770825773593_ckjlu9lx8","DuckDuckGo, Duck.ai (optional)","DuckDuckGo Browser, Search, AI","com.duckduckgo.mobile.android","37","https://play-lh.googleusercontent.com/NW2ASwJ4qtxfThhVIpm4641sR4o-yGv80yqaJnOnpC4lEmdxEcNTFcF6-TlZYtmdaA"
"app_1770825799674_jz2mxml77","Etsy: Shop Home, Style & More","Etsy : achats en ligne","com.etsy.android","31","https://play-lh.googleusercontent.com/QjuCfvGNr91o5Do9OyNjBprY12cNi4d-uAm73zlHucElV306V5S2Rl1g02kqsXcDqA9XFYIeOD-LI0rdiJk_"
"app_1770825794769_otx1mawp9","FaceApp: Perfect Face Editor","FaceApp: Éditeur de visage","io.faceapp","46","https://play-lh.googleusercontent.com/wy7PeVendA2m-DZnkSZepPYA9BaYydp35NhUwiw-BWkqh7BwvTAYMnlox118MmE2mQ"
"app_1770825758573_sdb288so4","Forest: Focus for Productivity","Forest：Rester Concentré","cc.forestapp","37","https://play-lh.googleusercontent.com/HCg7C-dntSsqB21-UOjYq1RaF1NC8SNOKGaGncridJBTSxXgGDRJxngSy6aztsoynyo"
"app_1770825785870_k3jply57a","HD Video Player All Formats","Lecteur vidéo HD tous formats","com.rocks.music.videoplayer","38","https://play-lh.googleusercontent.com/3XRmBa9MB3BUwZfF57ycUls3X-Cz0M4dtSrxcji9nEXORz5xPJtwOnCpsxlvltX67oQ"
"app_1770825763426_kj80eucbz","Journal it! Productivity, Note","Journal it! - Bullet & Planner","org.de_studio.diary","43","https://play-lh.googleusercontent.com/ywZxG3YRI8dhRymmtqE1tsK1TKM5erN0wNoqnPqM16MLBOnszdZx7YwVit53vsG3K5cMqQ96xDgeEfDVuDiKsA"
"app_1770825784871_6q4ultwth","KMPlayer - All Video Player","KMPlayer - Lecteur vidéo","com.kmplayer","48","https://play-lh.googleusercontent.com/c50C3ph3Sm4u4NtSzp1f5dp4_-8KOy-Xj0fMKnI9noJ5Q0s9XKzElgDXgMZ-_5Il7Usq"
"app_1770825790807_37k17ubzi","Lightroom Photo & Video Editor","Lightroom éditeur photo-vidéo","com.adobe.lrmobile","47","https://play-lh.googleusercontent.com/ALv_YzwUQTXc17qvu2oy7JTl8Qn-zm22M4FoZKVv2Ru541nDa2EltKPSlv_KyQGacLdpHLotR9Z98bamyEd9rKc"
"app_1770825751826_bbt53psby","Meetup: Social Events & Groups","Meetup : événements locaux","com.meetup","47","https://play-lh.googleusercontent.com/0MR37odCF8CmwYM3gQEiPzlDMI0svuLQ-wqciKDrYU089-diyI-DIfxzEF7xmtXvP3_fnBfbkKrhp8HvIWo2E_A"
